18.52,31,94
14.68,30,88
22.38,26,82
16.51,28,83
15.45,20,87
18.19,21,84
14.07,28,74
18.45,23,82
15.39,24,77
17.22,26,83
14.08,34,83
18.71,40,81
16.69,38,82
13.39,36,93
21.92,36,84
34.34,44,88
27.49,43,93
16.56,46,83
14.96,38,83
15.85,35,86
12.04,40,97
17.32,45,96
18.77,38,85
26.25,39,85
16.62,38,85
15.97,37,95
21.83,34,91
16.94,33,89
20.27,33,91
25.05,34,84
18.68,30,76
14.42,34,69
14.57,31,93
17.22,28,85
13.13,42,95
20.99,43,86
23.01,34,84
15.61,36,93
17.78,42,88
18.67,38,96
18.33,36,85
13.68,37,86
15.26,34,77
14.83,34,94
18.51,34,79
14.69,40,76
8.84,44,84
8.01,39,88
9.18,36,89
19.39,44,69
15.58,44,79
17.78,42,82
28.13,44,88
13.61,43,86
10.77,41,79
12.17,39,73
17.58,40,85
12.67,45,93
18.38,46,85
16.07,44,86
16.36,42,76
17.53,39,73
14.67,36,83
16.26,41,92
14.30,41,71
14.08,46,83
15.39,44,84
18.71,47,75
18.60,44,80
17.44,48,72
12.23,48,79
15.31,46,74
15.38,47,77
12.67,48,68
14.82,48,71
10.58,52,73
10.09,48,56
12.39,45,42
15.80,41,50
13.34,40,43
14.22,48,76
15.48,43,75
14.26,44,64
11.28,46,75
16.99,48,81
20.60,45,73
21.81,43,78
13.34,43,72
12.52,47,56
14.87,52,54
12.45,54,53
13.84,54,63
13.40,50,74
12.24,53,72
12.94,58,72
13.44,56,61
12.65,50,75
14.98,60,86
11.99,61,70
14.86,58,60
14.21,58,67
13.78,58,80
12.32,58,77
12.65,62,73
12.97,52,67
21.17,52,77
10.86,48,71
10.78,56,89
11.66,57,79
21.90,58,68
9.44,54,66
12.05,52,62
9.84,54,51
14.57,50,52
13.06,53,74
14.14,53,80
14.53,47,75
14.84,51,85
13.88,52,82
11.39,55,73
11.67,52,68
13.79,52,74
15.01,50,76
12.10,52,61
10.61,54,75
8.51,59,73
12.45,59,73
11.95,55,72
13.11,59,77
12.79,58,85
13.05,60,91
11.67,64,84
11.22,60,81
9.63,53,90
14.67,54,83
14.08,55,81
10.06,56,85
11.93,56,74
9.37,59,73
10.86,63,70
7.65,58,71
10.61,61,54
10.72,70,62
10.75,73,68
10.14,57,72
11.26,52,77
8.69,60,70
9.16,62,83
11.60,62,65
8.30,63,45
9.44,66,59
9.78,66,63
8.72,63,55
8.00,58,61
7.54,56,57
9.48,52,55
10.37,57,75
9.64,52,79
10.11,58,89
11.05,58,87
10.60,60,89
9.76,62,69
0.15,66,73
8.97,70,67
5.94,62,66
7.25,61,88
7.69,63,71
7.74,62,66
8.93,62,76
6.64,56,60
6.80,58,70
6.64,61,69
6.86,60,60
7.01,67,57
6.14,71,56
8.97,70,62
9.92,68,73
9.49,70,64
7.98,72,62
9.27,74,58
8.98,75,55
11.44,77,58
5.53,73,56
9.44,72,61
10.85,73,55
7.58,66,57
7.89,65,64
7.75,62,71
8.67,61,80
8.68,59,66
7.15,64,63
3.91,71,64
3.80,67,76
6.11,70,70
4.34,68,63
4.37,72,54
4.90,62,53
10.05,64,76
14.40,64,72
4.40,66,69
4.79,75,59
7.68,74,53
6.55,66,69
4.60,66,84
4.65,64,75
4.23,67,69
4.21,65,59
5.80,65,71
5.87,67,61
6.86,64,57
5.67,67,58
4.69,71,48
3.99,65,51
3.92,66,74
4.00,67,54
3.98,73,60
4.03,74,47
4.09,70,47
4.04,68,72
7.12,72,68
8.09,72,56
